date,user,type,ioc,tags,context
2026-07-11,threatfox,URL,http://columna.lol:6590,"win.remus, url",n/a
2026-07-11,threatfox,URL,http://198.13.158.127:5506/dd.vbs,"js.clearfake, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/f6ptObhnkvaYRgMEJ,"js.clearfake, url",n/a
2026-07-11,threatfox,URL,http://91.92.242.243:6600/ESPIxN5lducyZQW5we\,"js.clearfake, url",n/a
2026-07-11,threatfox,URL,http://93.152.224.29/IpS9GN16MBsmhWBe,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/CloudFlare_Verification_Code_845270,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/CloudFlare_Captcha_Code_839101,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/wbpLpf9vg2EVbxmbfW,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/WOBVpWpXWLm37L9XF,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.40/lrcaoQ7xSYfFVno2S9,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/BvCPpznZO6547X47,"unknown, url",n/a
2026-07-11,threatfox,URL,http://93.152.224.29/tBiNhjfyJ2VFClAx85,"unknown, url",n/a
2026-07-11,threatfox,URL,http://85.239.149.16/gWowSyTRkvfEcGsIj,"unknown, url",n/a
2026-07-11,threatfox,URL,https://shift-art.com/123/cloudflare/verify/humanverfification/cloudflarechallenge/CustomerID37832738/,"unknown, url",n/a
2026-07-12,threatfox,URL,http://178.17.59.40:5506/qk.vbs,"unknown, url",n/a
2026-07-12,threatfox,URL,http://inkbookwriters.com/verify,"unknown, url",n/a
2026-07-12,threatfox,URL,https://dozco.com/public,"unknown, url",n/a
2026-07-12,threatfox,URL,https://i-like-ele-phants-verification.live/iamchallenge/verification/UserID7383526,"unknown, url",n/a
2026-07-12,threatfox,URL,https://mhw.codes/check,"unknown, url",n/a
2026-07-12,threatfox,URL,https://2d4e5f6-7a8b-4c2d-9e1f-3b5a7c8d9e0fc.s3.us-east-1.amazonaws.com/config.cmd,"win.latrodectus, url",n/a
2026-07-12,threatfox,URL,https://klonfcrtyseaflow.com/inline.php,"win.latrodectus, url",n/a
2026-07-12,threatfox,URL,http://130.162.240.8:7317/api/register,"unknown, url",n/a
2026-07-12,threatfox,URL,http://130.162.240.8:7317/api/hvnc/register,"unknown, url",n/a
2026-07-12,threatfox,URL,https://cbsnews.date/tgv/RandApp,"unknown, url",n/a
2026-07-11,threatfox,DOMAIN,uyxg.behtarin-site-shartbandi-football.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,hlkdfuhu.zaribbala.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,hhtm.behtarin-site-shartbandi-football.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,lbsv.logiccascade.top,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,inrs.kernelbridge.top,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,jxiluxhf.radioshartbandi.chat,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,bqvojtsj.betgar.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,prre.behtarin-site-shartbandi-football.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,eijm.behtarin-site-shartbandi-football.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,evspwohq.betgar.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,wkeysfdb.stacknexus.top,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,qs268cl5.radioshartbandi.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,ouodqxjr.radioshartbandi.bet,"js.clearfake, domain",n/a
